,epsilon,precision,generalization,simplicity,log_fitness,f_score
0,0.01,0.17925101879847505,0.765498913927057,0.6166666666666667,1.0,0.30400824920399355
1,0.01,0.17925101879847505,0.7573575938869206,0.6220472440944882,1.0,0.30400824920399355
2,0.01,0.17925101879847505,0.7612845835533394,0.6194331983805668,1.0,0.30400824920399355
3,0.01,0.17925101879847505,0.9195157291601151,0.5652173913043479,1.0,0.30400824920399355
4,0.01,0.17410612815805582,0.8543004034596051,0.5779816513761468,1.0,0.2965764746176642
5,0.01,0.17925101879847505,0.7628974283037946,0.6220472440944882,1.0,0.30400824920399355
6,0.01,0.19200895835318788,0.8192765749834239,0.6000000000000001,0.9996993916232265,0.32214465704749046
7,0.01,0.17925101879847505,0.7666402362535929,0.6220472440944882,1.0,0.30400824920399355
8,0.01,0.17925101879847505,0.939765273772538,0.5135135135135136,1.0,0.30400824920399355
9,0.01,0.17925101879847505,0.7573575938869206,0.6220472440944882,1.0,0.30400824920399355
10,0.1,0.2187308439233705,0.9217129837103847,0.5757575757575757,0.9999074176943302,0.35894260045173393
11,0.1,0.17925101879847505,0.8478895596862459,0.5686274509803921,1.0,0.30400824920399355
12,0.1,0.17925101879847505,0.8826879683773272,0.5483870967741935,1.0,0.30400824920399355
13,0.1,0.17925101879847505,0.8870767758563852,0.5578947368421053,1.0,0.30400824920399355
14,0.1,0.20312860993453985,0.8501708070589009,0.5862068965517241,1.0,0.3376673254334659
15,0.1,0.17925101879847505,0.7573575938869206,0.6220472440944882,1.0,0.30400824920399355
16,0.1,0.17926059216715762,0.7520244603693886,0.6312056737588652,1.0,0.3040220174537093
17,0.1,0.18009220469938547,0.7553096637560548,0.6323529411764706,1.0,0.3052171753736172
18,0.1,0.17925543714926584,0.7647434368478563,0.626865671641791,1.0,0.30401460362582383
19,0.1,0.18040355386107942,0.9002224215081286,0.5072463768115941,0.9997756288002871,0.30565371623068094
20,1.0,0.1689336258817976,0.852040344603206,0.5700934579439253,1.0,0.28903886780459537
21,1.0,0.2401553578867407,0.9057839066400123,0.5942028985507246,1.0,0.38729882729527065
22,1.0,0.17925101879847505,0.9299387931474723,0.49253731343283585,1.0,0.30400824920399355
23,1.0,0.17926427450432614,0.7717677766530642,0.6245210727969348,1.0,0.3040273132664437
24,1.0,0.1800071429757969,0.8448570516194489,0.5932203389830509,1.0,0.305095005648604
25,1.0,0.17925101879847505,0.901076019331318,0.5135135135135136,1.0,0.30400824920399355
26,1.0,0.17927679558238052,0.7506065071399333,0.6323529411764706,1.0,0.30404532040986265
27,1.0,0.1800297890424184,0.9010988553438133,0.5263157894736842,1.0,0.30512753273544163
28,1.0,0.18617228956288712,0.8687396279613776,0.6153846153846154,1.0,0.3139042973790813
29,1.0,0.17925101879847505,0.9387305313329554,0.5072463768115941,1.0,0.30400824920399355
