,epsilon,precision,generalization,simplicity,log_fitness,f_score
0,0.01,0.3505434597817094,0.7977955220207704,0.6242424242424242,1.0,0.5191146678661764
1,0.01,0.3505434597817094,0.77965608486589,0.6344086021505377,1.0,0.5191146678661764
2,0.01,0.3505434597817094,0.7861884950060536,0.6373056994818652,1.0,0.5191146678661764
3,0.01,0.3505434597817094,0.7746687119149653,0.6373056994818652,1.0,0.5191146678661764
4,0.01,0.3505434597817094,0.7932157204242434,0.6344086021505377,1.0,0.5191146678661764
5,0.01,0.35054436790274335,0.8104986651448233,0.6344086021505377,1.0,0.5191156636299225
6,0.01,0.39102051714462127,0.8675122751207214,0.6091954022988506,0.9999985735453283,0.5622064599812657
7,0.01,0.38904889099952944,0.8705963301825835,0.6216216216216216,0.999995216122904,0.5601651205207685
8,0.01,0.3505434597817094,0.7910433868197775,0.6344086021505377,1.0,0.5191146678661764
9,0.01,0.39913131968615423,0.9434652087661277,0.5555555555555556,1.0,0.570541612599574
10,0.1,0.3505942082588698,0.7771364792919259,0.6373056994818652,1.0,0.5191703120226486
11,0.1,0.3505434597817094,0.9916797819593658,0.5625,1.0,0.5191146678661764
12,0.1,0.39913131968615423,0.9560676126167924,0.589041095890411,1.0,0.570541612599574
13,0.1,0.3505434597817094,0.8160316939473331,0.6312849162011173,1.0,0.5191146678661764
14,0.1,0.3915817001014473,0.885448580420066,0.6260162601626016,1.0,0.5627865041239055
15,0.1,0.35059335665315206,0.7636244896084957,0.6373056994818652,1.0,0.5191693782974656
16,0.1,0.3512580135719253,0.9910405164146225,0.5555555555555556,1.0,0.5198977694029097
17,0.1,0.32083179353345825,0.9045285236400368,0.6000000000000001,1.0,0.48580265118418536
18,0.1,0.4033652322826924,0.8718299345477701,0.6198347107438017,1.0,0.5748542474956212
19,0.1,0.3505434597817094,0.7819629298287637,0.64,1.0,0.5191146678661764
20,1.0,0.3755402796496834,0.8576847829050112,0.607843137254902,1.0,0.5460258564661216
21,1.0,0.45131812520393566,0.8378020657204737,0.6444444444444444,1.0,0.6219423810207255
22,1.0,0.36092942056502286,0.8085021634894043,0.6393442622950819,1.0,0.5304160746487121
23,1.0,0.4370313895691621,0.8431194967857549,0.6385542168674699,1.0,0.6082419531562062
24,1.0,0.424173979849373,0.8973216279742516,0.6086956521739131,1.0,0.5956771937291475
25,1.0,0.3755402796496834,0.8918510392319643,0.5903614457831325,1.0,0.5460258564661216
26,1.0,0.5249583734121339,0.8404135774374345,0.6091954022988506,1.0,0.6884887909924071
27,1.0,0.3681193187725118,0.9426687118966465,0.6000000000000001,1.0,0.538139201342163
28,1.0,0.3506769185084906,0.8641808311494213,0.6486486486486487,1.0,0.5192609923263246
29,1.0,0.3519904220293325,0.8076733050619356,0.6331360946745562,1.0,0.5206995793668363
