,epsilon,precision,generalization,simplicity,log_fitness,f_score
0,0.01,0.17925101879847505,0.7612845835533394,0.6194331983805668,1.0,0.30400824920399355
1,0.01,0.17925101879847505,0.765498913927057,0.6166666666666667,1.0,0.30400824920399355
2,0.01,0.17925101879847505,0.765498913927057,0.6166666666666667,1.0,0.30400824920399355
3,0.01,0.17925101879847505,0.765498913927057,0.6166666666666667,1.0,0.30400824920399355
4,0.01,0.17925101879847505,0.7612845835533394,0.6194331983805668,1.0,0.30400824920399355
5,0.01,0.17925101879847505,0.7612845835533394,0.6194331983805668,1.0,0.30400824920399355
6,0.01,0.17925101879847505,0.765498913927057,0.6166666666666667,1.0,0.30400824920399355
7,0.01,0.17925101879847505,0.765498913927057,0.6166666666666667,1.0,0.30400824920399355
8,0.01,0.17925101879847505,0.765498913927057,0.6166666666666667,1.0,0.30400824920399355
9,0.01,0.17925101879847505,0.7612845835533394,0.6194331983805668,1.0,0.30400824920399355
10,0.1,0.17925101879847505,0.765498913927057,0.6166666666666667,1.0,0.30400824920399355
11,0.1,0.17925101879847505,0.765498913927057,0.6166666666666667,1.0,0.30400824920399355
12,0.1,0.17925101879847505,0.7612845835533394,0.6194331983805668,1.0,0.30400824920399355
13,0.1,0.17925101879847505,0.765498913927057,0.6166666666666667,1.0,0.30400824920399355
14,0.1,0.17925101879847505,0.765498913927057,0.6166666666666667,1.0,0.30400824920399355
15,0.1,0.17925101879847505,0.7612845835533394,0.6194331983805668,1.0,0.30400824920399355
16,0.1,0.17925101879847505,0.7612845835533394,0.6194331983805668,1.0,0.30400824920399355
17,0.1,0.17925101879847505,0.765498913927057,0.6166666666666667,1.0,0.30400824920399355
18,0.1,0.17925101879847505,0.765498913927057,0.6166666666666667,1.0,0.30400824920399355
19,0.1,0.17925101879847505,0.765498913927057,0.6166666666666667,1.0,0.30400824920399355
20,1.0,0.97156916347731,0.940893768518139,0.7391304347826086,0.6663115815914505,0.7904944091822407
21,1.0,0.97156916347731,0.9571367036280325,0.8333333333333333,0.7061436878660247,0.8178603764827171
22,1.0,0.887362151323937,0.9455629205130105,0.6666666666666666,0.7177785645736794,0.7936120801447966
23,1.0,0.97156916347731,0.940893768518139,0.7391304347826086,0.6663115815914505,0.7904944091822407
24,1.0,0.873284944977757,0.963817623440349,0.6585365853658536,0.7150700062782748,0.7862976352913561
25,1.0,0.9774068609369236,0.9294169980885115,0.7499999999999999,0.7736684912028733,0.8636851526330387
26,1.0,0.97156916347731,0.940893768518139,0.7391304347826086,0.6663115815914505,0.7904944091822407
27,1.0,0.9749398117750054,0.8618068943868948,0.6774193548387096,0.7369955391730453,0.8394315729767198
28,1.0,0.97156916347731,0.940893768518139,0.7391304347826086,0.6663115815914505,0.7904944091822407
29,1.0,0.9497614531241019,0.9440321642391882,0.6774193548387096,0.7310885439636474,0.8262006949821213
