,epsilon,precision,generalization,simplicity,log_fitness,f_score
0,0.01,0.11120500483855578,0.7878869842248026,0.45098039215686275,1.0,0.20015209498577174
1,0.01,0.1173197210439284,0.78577375704204,0.45098039215686275,1.0,0.21000205909605688
2,0.01,0.10569611234179266,0.6847187204770094,0.6150234741784038,1.0,0.1911847408379417
3,0.01,0.11494949210329819,0.7880054700960671,0.45098039215686275,1.0,0.2061967701988931
4,0.01,0.1157288549098594,0.7881188438832761,0.45098039215686275,1.0,0.20744978387998977
5,0.01,0.11418055613865685,0.7888124755764466,0.45098039215686275,1.0,0.20495880225080393
6,0.01,0.11813166924870055,0.7887736932082797,0.45098039215686275,1.0,0.21130189314479583
7,0.01,0.11651885808948492,0.7888092045410234,0.45098039215686275,1.0,0.20871811926018782
8,0.01,0.11615450480449052,0.784584057999283,0.5118110236220472,0.9954327437648878,0.2080340478302443
9,0.01,0.1157288549098594,0.7888089423635772,0.45098039215686275,1.0,0.20744978387998977
10,0.1,0.10569611234179266,0.687477138235146,0.6196868008948546,1.0,0.1911847408379417
11,0.1,0.11668799068049329,0.7357675797284187,0.47747747747747743,0.9997990959316926,0.20898503706378585
12,0.1,0.10325852563536309,0.7931984912758395,0.5515151515151514,1.0,0.1871882668224056
13,0.1,0.11651885808948492,0.7885172909540317,0.45098039215686275,1.0,0.20871811926018782
14,0.1,0.10752302410492087,0.7505445927982981,0.5142857142857142,1.0,0.19416846740828517
15,0.1,0.09940257870960467,0.7694154562028732,0.5529411764705883,0.9795883581742743,0.18049013304531594
16,0.1,0.11494949210329819,0.7888360537523772,0.45098039215686275,1.0,0.2061967701988931
17,0.1,0.11651885808948492,0.788805004908093,0.45098039215686275,1.0,0.20871811926018782
18,0.1,0.11494949210329819,0.7881109994955832,0.45098039215686275,1.0,0.2061967701988931
19,0.1,0.11895493446471006,0.7887992893421811,0.45098039215686275,1.0,0.21261791838223792
20,1.0,0.12149504876777606,0.8027022005243258,0.46788990825688076,1.0,0.2166662240752052
21,1.0,0.12293088372747463,0.7927879422429387,0.47747747747747743,0.999933326666,0.21894488465801282
22,1.0,0.11823381089932472,0.8099983242779997,0.47368421052631576,1.0,0.21146527630788906
23,1.0,0.10513078702107215,0.8441224365584501,0.5757575757575757,0.9992333470085781,0.19024556294743175
24,1.0,0.12149504876777606,0.8020278632629968,0.5405405405405405,1.0,0.2166662240752052
25,1.0,0.12236603326484397,0.791011630217603,0.5,1.0,0.2180501362980384
26,1.0,0.1218647995415244,0.763063709812308,0.5251798561151079,1.0,0.21725398566980125
27,1.0,0.12236603326484397,0.800482391619599,0.5118110236220472,1.0,0.2180501362980384
28,1.0,0.054774978466838986,0.8664872418665328,0.542483660130719,0.9579685620582629,0.10362486702495924
29,1.0,0.11162799694381853,0.8055971963082383,0.5642458100558659,0.9999814371368639,0.20083659131753484
